key,value,description (optional)
software_cost,₹660 per year,Cost of app
expiry_period,1 year from purchase,Software validity period
demo_link,https://www.youtube.com/watch?v=S_Enw3Tf0h8&list=PLJW0SSmntOFRABERkMX8Kb9gyAMsYCVw6,Link to demo
upcoming_updates,"GPS based jamakol chart, Dynamic Panchangam search on star/thithi/karanam/yogam, KP langa motion chart, New look and feel",Info about upcoming features
support_email,,
refund_policy,,
affiliate_program,Earn 10% discount when you join in group of 10,Affiliate program info
contact_number,7010996514,Customer support phone
business_hours,"Mon-Fri, 10am-6pm",Working hours
version,2.1,Current software version
Payment,9751261626,Gpay number for payment
Youtube,https://www.youtube.com/@PERIYANAYAKI_ASTRO_SOLUTIONS,youtube channel
Consultation,Mon-Fri 7 PM to 11 PM Sat-Sun 9 AM to 9 PM,"Consultation hours, online, in person, phone"
Astrologer_name,Praveen Kumar L,"Astrologer, owner, app developer"
Location,"Madipakkam, Chennai, TN, India",address
Services,"Website/app/AI agent/AI Bot development, astrology consultaion, Jamakol prasannam, Brihu Nandi Naadi, Vedic astrology, Vaasthu, Numerology",Services
