planet_ta,planet_en,short_description,category,keywords,section,content
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",உயிர் காரகத்துவம்,"தந்தை, தந்தைவழி உறவினர்கள், மூத்த மகன் மற்றும் திருமணத்திற்குப் பின் மாமனார் ஆகியோரைக் குறிக்கும்."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",தகுதி மற்றும் அதிகாரம்,"அரச குலத்தைச் சேர்ந்தவர்கள், மன்னர், பிரதமர், ஜனாதிபதி, நிர்வாகிகள், அரசியல்வாதிகள், அரசு அதிகாரிகள் மற்றும் ஊரின் பெரிய மனிதர்கள்."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",இடங்கள்,"தலைநகரம், அரண்மனை, கோட்டைகள், அரசு நிறுவனங்கள், மாடி வீடு, ஆலயங்கள், காடுகள், மலை மற்றும் கிழக்கு திசை."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",உடல் மற்றும் நோய்கள்,"தலை, மூளை, எலும்பு, வலது கண், இருதயம் மற்றும் நோய் எதிர்ப்பு சக்தி. நோய்களில் தலைவலி, கண்நோய், காய்ச்சல், இதய நோய் மற்றும் பித்தம் சம்பந்தப்பட்ட உஷ்ண நோய்கள் அடங்கும்."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",தொழில்கள்,"அரசு உத்தியோகம், கலெக்டர், ராணுவம், காவல்துறை, மருத்துவம், தங்கம் உருக்குதல் மற்றும் பூர்வீகத் தொழில்."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",உணவுப்பொருட்கள்,கோதுமை சம்பந்தப்பட்ட பொருட்கள்.
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",மற்றவை,"தவம், அதிகாரம், தலைமைப் பண்பு, நேர்மை, ரகசியம் தங்காமை, ஆங்கில மருத்துவம், மாணிக்கக்கல், தேன், செம்பு மற்றும் ஒன்றாம் எண்."
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",வீட்டின் அமைப்பு,வீட்டின் வலது பக்க ஜன்னல்.
சூரியன்,Sun,ஆத்மா மற்றும் அதிகாரம்,காரகத்துவம் (Karaka),"தந்தை, அரசு, கோதுமை, வலது ஜன்னல்",வேறு பெயர்கள்,"ஆதவன், அருணன், அரியமா, அருக்கன், அலரி, அழரவன், அனலி, அண்ட யோனி, அரி, ஆயிரஞ்ஜோதி, உதயம், ரவி, எல்லோன், எல்லை."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",உயிர் காரகத்துவம்,"தாய், தாய்வழி உறவுகள், மூத்த அக்கா, அண்ணி, மாமியார் மற்றும் திருடன்."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",இடங்கள்,"நீர்நிலைகள், கடற்கரை, கிணறு, கடல், நீச்சல் குளம் மற்றும் வடமேற்குப் பகுதி."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",உடல் மற்றும் நோய்கள்,"இடது கண், கருப்பை, மார்பகம், நுரையீரல், ரத்தம், மனம் மற்றும் நினைவுத்திறன். நோய்களில் மனநோய், சளி, ஆஸ்துமா, வலிப்பு, சைனஸ் மற்றும் வைட்டமின் பி குறைபாடு அடங்கும்."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",தொழில்கள்,"உணவகங்கள் (Hotel), காய்கறி-பழங்கள் விற்பனை, பால் பண்ணை, சுற்றுலா, பத்திரிக்கை மற்றும் போக்குவரத்து."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",உணவுப்பொருட்கள்,"அரிசி, பால், தயிர், ஆரஞ்சு, முலாம்பழம், குங்குமப்பூ மற்றும் உப்பு."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",மற்றவை,"வெள்ளை நிறம், மலர்கள், முத்து, வெள்ளி, பட்டுத்துணி, இடமாற்றம், மனச்சஞ்சலம் மற்றும் பயணம்."
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",வீட்டின் அமைப்பு,வீட்டின் குளியலறை.
சந்திரன்,Moon,மனம் மற்றும் நீர்,காரகத்துவம் (Karaka),"தாய், அரிசி, குளியலறை, மதி",வேறு பெயர்கள்,"அமுத கிரணன், அம்புலி, அரி, இந்து, இமகரன், இராக்கதிர், உடுபதி, கலாநிதி, குபேரன், சசி, சீதன், சுதாகரன், சோமன், தாராபதி, திங்கள், நிலவு, மதி, மதியம்."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",உயிர் காரகத்துவம்,"சகோதரர், சகோதர வழி உறவுகள் மற்றும் பெண்ணின் ஜாதகத்தில் கணவன்."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",இடங்கள்,"விளையாட்டு மைதானம், போர்க்களம், பூமி, மலைகள், சமையலறை, காவல்துறை நிலையம் மற்றும் சிகிச்சைப் பிரிவு."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",உடல் மற்றும் நோய்கள்,"பற்கள், தசைகள், இடது காது, எலும்பு மஜ்ஜை, ரத்தம் மற்றும் ஆணின் மர்ம உறுப்பு. நோய்களில் விபத்துக்கள், வெட்டுக்காயங்கள், அறுவை சிகிச்சை, ரத்த அழுத்தம் மற்றும் தழும்புகள் அடங்கும்."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",தொழில்கள்,"காவல்துறை, ராணுவம், தீயணைப்பு, இன்ஜினியரிங், மருத்துவம் (அறுவை சிகிச்சை), விவசாயம் மற்றும் விளையாட்டு."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",உணவுப்பொருட்கள்,"துவரை, மிளகாய், இஞ்சி, வெள்ளைப் பூண்டு, கத்திரிக்காய் மற்றும் புளி."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",மற்றவை,"நெருப்பு, சிகப்பு நிறம், செம்பு, ஒன்பதாம் எண், வேல், துப்பாக்கி, பட்டாசு, முன்கோபம் மற்றும் பிடிவாதம்."
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",வீட்டின் அமைப்பு,வீட்டின் சமையலறை.
செவ்வாய்,Mars,வீரியம் மற்றும் நிலம்,காரகத்துவம் (Karaka),"சகோதரர், கணவன், துவரை, சமையலறை",வேறு பெயர்கள்,"அரத்தன், அழலோன், அழல், அறிவன், ஆரல், உதிரன், குசன், குருதி, செந்தி, வண்ணன், சேர், நிலமகள், பௌமன், மங்கலம், வக்கிரன்."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",உறவு காரகத்துவங்கள்,"தாய்மாமன், நண்பர்கள், இளைய சகோதரங்கள் மற்றும் காதலன்/காதலி."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",இடங்கள்,"கடைவீதி, பள்ளிக்கூடம் மற்றும் பூங்கா."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",உடல் மற்றும் நோய்கள்,"நரம்பு மண்டலம், தோல், நாக்கு, கழுத்து மற்றும் கைகள். நோய்களில் தோல் வியாதிகள், நரம்புத் தளர்ச்சி, குழந்தையின்மை மற்றும் மனநிலை தடுமாற்றங்கள் அடங்கும்."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",தொழில்கள்,"வியாபாரம், ஆசிரியர், ஜோதிடம், பத்திரிக்கை, சட்டம், சாப்ட்வேர் இன்ஜினியரிங் மற்றும் கம்ப்யூட்டர்."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",உணவுப் பயிர்கள்,பாசிப்பயறு மற்றும் பச்சைப் பயறு.
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",மற்றவை,"பச்சை நிறம், புத்தகம், சிற்பம், ஐந்தாம் எண், வடக்கு திசை, வாக்குத் திறமை மற்றும் புத்தி கூர்மை."
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",வீட்டின் அமைப்பு,வீட்டின் வரவேற்பறை மற்றும் படிக்கும் அறை.
புதன்,Mercury,அறிவு மற்றும் வணிகம்,காரகத்துவம் (Karaka),"தாய்மாமன், கல்வி, பாசிப்பயறு, வரவேற்பறை",வேறு பெயர்கள்,"அநூரு, அருணன், அனுவழி, கணக்கன், சௌமன், சிந்தனை, சௌமியன், துவன், தேர்ப்பாகன், நற்கோள், நிபுணன், பாகன், புத்தி, புலவன்."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",உயிர் காரகத்துவங்கள்,"புத்திரன், புத்திரி, ஆசிரியர், மதகுரு மற்றும் பெண் ஜாதகத்தில் இரண்டாவது கணவர்."
